"№ п\п";"Регистрационный
номер маршрута
регулярных перевозок";"Порядковый номер
маршрута регулярных
перевозок, который
присвоен ему
организатором перевозок";"Наименование маршрута
регулярных перевозок
в виде наименования
начального остановочного
пункта и конечного
остановочного пункта
по маршруту регулярных
перевозок или в
виде наименований
поселений, в
границах которых
расположены начаный
остановочный пункт
и конечный остановочный
пункт по данному маршруту";"Наименования промежуточных
остановочных пунктов
по маршруту регулярных
перевозок или наименования
поселений, в границах
которых расположены
промежуточные остановочные
пункты";"Наименования улиц,
автомобильных дорог,
по которым предполагается
движение транспортных
средств между
остановочными пунктами
по маршруту регулярных
перевозок";"Протяженность маршрута
регулярных перевозок";"Порядок посадки и
высадки пассажиров(только
в установленных остановочных
пункта или если это
не запрещено действующим
законодательством, в
любом не запрещенном правилами
дорожного движения месте
по маршруту регулярных
перевозок)";"Вид регулярных
перевозок";"Виды транспортных средств";"Классы транспортных средств";"Максимальное количество
транспортных средств каждого класса";"Экологические
характеристики
транспортных средств,
которые используются
для перевозок по маршруту
регулярных перевозок";"Дата начала
осуществления регулярных
"287";"287";"277";"с. Самарское – г. Ростов-на-Дону ";"с. Самарское, ул. К.Маркса";"с. Самарское, ул. К.Маркса,
автомобильная дорога М-4 'Дон',
автомобильная дорога А-135,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная";"40.5";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Малый";"11";"не ниже Euro-5";"16.02.2018";"ООО Транспортная компания «Самарское»";"346751, Ростовская область, Азовский район, с. Самарское, пер. Промышленный, 98"
"289";"289";"457";"х. Сафьяново – г. Ростов-на-Дону ";"х. Хапры, пер. Макаренко, 9,
х. Хапры, пер. Школьный,
х. Хапры, пер. Костенко,
х. Хапры, пер. Степной,
х. Калинин, ул. Советская 1-я, 1,
х. Калинин, ул. Школьная, 75,
х. Калинин, ул. Школьная, 140,
х. Калинин, ул. Школьная, 148,
х. Калинин, ул. Школьная, 176,
х. Калинин, ул. Школьная, 136,
х. Калинин, ул. Советская 1-я, 3,
с. Чалтырь, ул. Красноармейская, 67а,
с. Чалтырь, ул. Ростовская, 10е,
с. Чалтырь, ул. Ростовская, 42б,
с. Чалтырь, ул. Ростовская, 47а,
с. Чалтырь, ул. Ростовская, 71б,
с. Чалтырь, ул. Ростовская, 82а,
г. Ростов-на-Дону, ул. Таганрогская (ДПС),
г. Ростов-на-Дону, ул. Малиновского (Фортуна),
г. Ростов-на-Дону, ул. Малиновского (ТЦ 'Окей'),
г. Ростов-на-Дону Улица Зорге / Проспект Стачки,
г. Ростов-на-Дону, ул. Московская (Кинотехникум)";"х. Хапры, пер. Макаренко,
х. Хапры, ул. Гагарина,
автомобильная дорога с. Чалтырь - х. Хапры,
с. Чалтырь, ул. Гагарина,
с. Чалтырь, ул. Красноармейская,
с. Чалтырь, ул. Ростовская,
с. Чалтырь, ул. Мясникяна,
автомобильная дорога 60 ОП МЗ 60Н-223,
х. Калинин, ул. Советская 1-я,
х. Калинин, ул. Кривоноса,
х. Калинин, ул. Школьная,
х. Калинин, ул. Кривоноса,
х. Калинин, ул. Советская 1-я,
автомобильная дорога 60 ОП МЗ 60Н-223,
с. Чалтырь, ул. Мясникяна,
с. Чалтырь, ул. Ростовская,
автомобильная дорога А-280,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, пр-кт. Стачки,
г. Ростов-на-Дону, ул. Московская";"41.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Большой";"1";"не ниже Евро-2";"18.05.2018";"АО «Крымское АТП»";"346812, Ростовская область, Мясниковский район, с. Крым, ул. 5-ая линия, 1"
"290";"290";"486";"х. Семенкин – г. Волгодонск ";"п. Сибирьковый,
ст-ца. Романовская,
х. Лагутники";"х. Семенкин, ул. Центральная,
Семенкинское шоссе,
п. Сибирьковый, ул. Фестивальная,
Семенкинское шоссе,
автомобильная дорога 60 ОП Р3 60К-4.2,
х. Лагутники, ул. Гагарина,
автомобильная дорога 60 ОП РЗ 60К-102,
ст-ца. Романовская, ул. Тюхова,
ст-ца. Романовская, ул. Чибисова,
ст-ца. Романовская, пер. Союзный,
ст-ца. Романовская, ул. Чибисова,
ст-ца. Романовская, ул. Тюхова,
автомобильная дорога 60 ОП РЗ 60К-102,
х. Лагутники, пер. Донской,
автомобильная дорога 60 ОП Р3 60К-4.2,
г. Волгодонск, ш. Романовское,
г. Волгодонск, ул. Бетонная 2-я,
г. Волгодонск, ул. Портовая,
г. Волгодонск, ул. Морская";"49.0";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Малый";"1";"";"29.12.2017";"ИП Даниэлян Арсен Шаварши";""
"291";"291";"514";"ст. Старочеркасская – г. Новочеркасск – ст. Старочеркасская";"х. Большой Лог,
п. Реконструктор,
х. Александровка,
п. Опытный,
ст-ца. Мишкинская,
х. Малый Мишкин";"ст-ца. Старочеркасская, ул. Малосадовая,
ст-ца. Старочеркасская, ул. Гагарина,
автомобильная дорога 60 ОП МЗ 60Н-82,
х. Большой Лог, ул. Советская,
п. Реконструктор, ул. Садовая,
п. Опытный, ул. Вишневая,
автомобильная дорога 60 ОП МЗ 60Н-77,
г. Новочеркасск, ул. Ростовский выезд,
г. Новочеркасск, ул. Северная,
г. Новочеркасск, пр-кт. Платовский";"49.4";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"13.11.2012";"ООО «Аксай-Авто»";"346711, Ростовская область, Аксайский район, п. Опытный, ул. Центральная, 35"
"292";"292";"231";"ст. Старочеркасская – г. Ростов-на-Дону ";"х. Большой Лог,
Берданосовка,
г. Аксай, ПМК,
г. Ростов-на-Дону, пр-кт. 40-летия Победы";"ст-ца. Старочеркасская, ул. Малосадовая,
ст-ца. Старочеркасская, ул. Гагарина,
автомобильная дорога 60 ОП МЗ 60Н-82,
х. Большой Лог, ул. Советская,
г. Аксай, ул. Казачья,
г. Аксай, ул. Садовая,
г. Аксай, пр-кт. Ленина,
г. Аксай, пр-кт. Аксайский,
г. Аксай, ул. Западная,
г. Ростов-на-Дону, пр-кт. 40-летия Победы,
г. Ростов-на-Дону, ул. Сарьяна,
г. Ростов-на-Дону, ул. 35-я линия,
г. Ростов-на-Дону, ул. Комсомольская,
г. Ростов-на-Дону, пл. Свободы";"39.8";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"2";"Euro не установлено";"15.05.2018";"ООО «Кварта-1»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"293";"293";"232";"ст. Старочеркасская – г. Ростов-на-Дону ";"х. Большой Лог,
Берданосовка,
г. Аксай, ПМК,
г. Ростов-на-Дону, Пригородный автовокзал,
г. Ростов-на-Дону, пл. Карла Маркса,
г. Ростов-на-Дону, пл. Толстого";"ст-ца. Старочеркасская, ул. Малосадовая,
ст-ца. Старочеркасская, ул. Гагарина,
автомобильная дорога 60 ОП МЗ 60Н-82,
х. Большой Лог, ул. Советская,
г. Аксай, ул. Казачья,
г. Аксай, ул. Садовая,
г. Аксай, пр-кт. Ленина,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Ростов-на-Дону, ул. 20-я линия,
г. Ростов-на-Дону, пл. Карла Маркса,
г. Ростов-на-Дону, пл. Толстого";"39.8";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"3";"Euro не установлено";"15.05.2018";"ООО «Кварта-1»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"294";"294";"456";"х. Султан-Салы – г. Ростов-на-Дону ";"с. Султан-Салы, ул. Селиверстова, 25а,
с. Султан-Салы, ул. Селиверстова, 1а,
х. Красный Крым, ул. Туманяна, 55,
х. Красный Крым, ул. Туманяна, 39,
х. Красный Крым, ул. Туманяна, 19,
х. Красный Крым (трасса),
х. Ленинакан (трасса),
г. Ростов-на-Дону, ул. Неклиновская,
г. Ростов-на-Дону, ул. Иловайская,
г. Ростов-на-Дону, пл. 2 Пятилетки,
г. Ростов-на-Дону, пл. Народного Ополчения (РГУПС),
г. Ростов-на-Дону, пр-кт. Буденновский / ул. Нансена";"с. Султан-Салы, ул. Селиверстова,
автомобильная дорога 60 ОП РЗ 60К-24,
х. Красный Крым, ул. Туманяна,
автомобильная дорога 60 ОП РЗ 60К-8,
г. Ростов-на-Дону, ул. Особенная,
г. Ростов-на-Дону, ул. Вавилова,
г. Ростов-на-Дону, ул. Шеболдаева,
г. Ростов-на-Дону, ул. Стадионная,
г. Ростов-на-Дону, пр-кт. Буденновский";"20.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"1";"не ниже Евро-2";"18.05.2018";"АО «Крымское АТП»";"346812, Ростовская область, Мясниковский район, с. Крым, ул. 5-ая линия, 1"
"295";"295";"278";"п. Суходольск – г. Ростов-на-Дону ";"п. Суходольск, ул. Зеленая";"п. Суходольск, ул. Зеленая,
автомобильная дорога М-4 'Дон',
автомобильная дорога А-135,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная";"41.0";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-5";"16.02.2018";"ООО Транспортная компания «Самарское»";"346751, Ростовская область, Азовский район, с. Самарское, пер. Промышленный, 98"
"296";"296";"466";"х. Таврический – г. Таганрог ";"х. Таврический, ул. Мира,
х. Ивановка,
х. Калиновка,
с. Носово,
с. Андреево-Мелентьево,
с. Николаевка, ул. Ленина (Миллионка),
г. Таганрог, ул. Транспортная (26 магазин),
г. Таганрог, Ц. рынок";"х. Таврический, ул. Мира,
х. Таврический, ул. Чехова,
автомобильная дорога 60 ОП МЗ 60Н-232,
с. Носово, ул. Молодежная,
автомобильная дорога 60 ОП МЗ 60Н-232,
автомобильная дорога 60 ОП МЗ 60Н-231,
с. Николаевка, пер. Кутузовский,
с. Николаевка, ул. Ленина,
автомобильная дорога 60 ОП МЗ 60Н-231,
г. Таганрог, ул. Николаевское Шоссе,
г. Таганрог, ул. Транспортная,
г. Таганрог, ул. Чехова";"50.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"15.05.2018";"ООО «Неклиновское АТП»";"346830, Ростовская область, Неклиновский район, с. Покровское, ул. О. Кошевого, 26"
"297";"297";"385";"г. Таганрог – с. Амарково ";"с. Николаевка,
с. Андреево-Мелентьево,
д. Золотарево,
с. Лотошники,
х. Боркин,
х. Грузиновка,
х. Мураловка,
с. Носово,
х. Калиновка,
х. Ивановка";"г. Таганрог, ул. Чехова,
г. Таганрог, ул. Транспортная,
г. Таганрог, ул. Николаевское Шоссе,
автомобильная дорога 60 ОП МЗ 60Н-231,
с. Николаевка, ул. Ленина,
с. Николаевка, пер. Кутузовский,
с. Андреево-Мелентьево, ул. Победы,
д. Золотарево, ул. Лиманная,
х. Грузиновка, ул. Набережная,
автомобильная дорога 60 ОП МЗ 60Н-232,
х. Александрово-Марково, ул. Энгельса";"47.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-2";"16.05.2018";"ООО «Маршрутное такси «Южный Город»";"347939, Ростовская область, г. Таганрог, ул. Чехова, 375"
"298";"298";"382/2";"г. Таганрог – с. Беглица ";"п. Золотая Коса";"г. Таганрог, ул. Чехова,
г. Таганрог, ул. Транспортная,
г. Таганрог, ул. Советская 2-я,
г. Таганрог, ул. Мариупольское Шоссе,
автомобильная дорога 60 ОП РЗ 60К-229,
автомобильная дорога А-280,
п. Золотая Коса, ул. Октябрьская,
с. Беглица, ул. Садовая,
с. Беглица, ул. Октябрьская,
с. Беглица, ул. Ленина,
с. Беглица, ул. Зарайченкова,
с. Беглица, ул. Мира,
с. Беглица, ул. Октябрьская";"40.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-2";"15.05.2018";"ООО «Автолайн-КО»";"347916, Ростовская область, г.Таганрог, ул. Театральная, 41А"
"299";"299";"382/1";"г. Таганрог – с. Беглица ";"х. Русский Колодец";"г. Таганрог, ул. Чехова,
г. Таганрог, ул. Транспортная,
г. Таганрог, ул. Советская 2-я,
г. Таганрог, ул. Мариупольское Шоссе,
автомобильная дорога А-280,
автомобильная дорога 60 ОП РЗ 60К-228,
с. Беглица, ул. Садовая,
с. Беглица, ул. Октябрьская,
с. Беглица, ул. Ленина,
с. Беглица, ул. Зарайченкова,
с. Беглица, ул. Мира,
с. Беглица, ул. Октябрьская";"40.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Большой";"1";"Euro не установлено";"15.05.2018";"АО «Автоколонна №1423»";"347916, Ростовская область, г. Таганрог, ул. Ломоносова, 65"
